firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Lelah,Darrell,Minnesota Timberwolves,25,73.64,40.24,3.85,97.06,7.66,95.97
Robinia,Sidonius,Sacramento Kings,20,31.62,20.02,10.65,64.26,92.19,13.66
Joceline,Reinke,Denver Nuggets,30,89.52,98.48,46.83,73.18,73.31,32.54
Merci,Simmonds,Phoenix Suns,19,83.04,17.84,51.75,55.53,41.52,11.6
Jemie,Morgun,,26,93.26,69.48,95.41,14.73,36.17,52.4
Robinia,Grayce,Detroit Pistons,19,60.36,42.83,20.06,53.06,72.44,18.19
Ira,Wallis,Orlando Magic,29,82.72,14.82,5.47,42.46,84.44,91.4
Dominga,Simmonds,Charlotte Hornets,20,53.33,52.74,69.42,40.05,11.17,70.98
Sean,Tristram,Dallas Mavericks,25,32.48,8.34,11.92,62.74,9.33,54.74
Arabel,Romelda,Los Angeles Lakers,19,64.94,17.98,47.19,23.42,23.43,94.97
Elmira,Huggins,Indiana Pacers,30,81.43,82.56,94.76,32.83,72.69,73.54
Lita,Marcellus,Cleveland Cavaliers,28,88.04,39.79,62.12,3.74,30.05,82.03
Jinny,Old,Oklahoma City Thunder,20,71.42,83.77,40.84,31.04,98.92,60.68
Carolina,Boehike,Denver Nuggets,21,96.61,57.47,36.72,41.27,58.29,29.64
Sandie,Ilka,Orlando Magic,27,97.47,30.26,33.38,49.09,85.92,69.65
Stephanie,Maples,Los Angeles Lakers,25,60.73,41.9,17.75,13.72,63.34,15.75
Kassey,Kress,Denver Nuggets,24,33.54,16.97,14.01,7.27,77.87,82.09
Petronia,Oster,Detroit Pistons,20,23.3,98.23,63.18,94.65,45.69,12.53
Veda,Afton,Detroit Pistons,30,43.87,64.47,64.96,5.35,1.42,46
Courtnay,Leary,Golden State Warriors,19,13.39,84.72,32.81,11.21,16.74,80.22
Sheelagh,Holtz,Milwaukee Bucks,28,39.06,50.13,96.69,5.28,20.56,76.05
Priscilla,Tound,Milwaukee Bucks,30,51.57,12.53,68.98,42.91,88.29,71.96
Doralynne,Fennessy,Minnesota Timberwolves,25,86.43,24.72,39.54,75.36,16.67,74.56
Rori,Kare,Houston Rockets,27,65.13,10.59,14.33,10.08,20.03,96.59
Dolli,Diogenes,Brooklyn Nets,27,69.46,19.6,35.19,18.46,11.15,29.88
Ezmeralda,Sidonius,Oklahoma City Thunder,18,47.17,96.96,48.7,27.94,11.66,52.16
Sheelagh,Greenwald,Charlotte Hornets,29,92.57,37.89,85.65,5.36,16.32,12.28
Alie,Secrest,Washington Wizards,29,70.36,54.12,83.98,57.55,70.44,1.86
Alia,Ezar,Washington Wizards,24,79.19,11.17,84.5,22.38,2.84,9.16
Orelia,Rossner,San Antonio Spurs,22,99.39,32.28,32.5,65.57,98.24,20.49
Averyl,Phi,Golden State Warriors,23,5.89,71.15,22.3,73.79,81.61,17.08
Vivia,Colleen,LA Clippers,20,9.56,19.26,25.88,84.6,65.82,38.58
Lita,Jagir,Toronto Raptors,29,26.63,81.86,96.39,27.32,22.97,26.55
Jenda,Ferrell,Philadelphia 76ers,23,59.16,24.62,2.99,12.59,62.34,94.64
Dode,Granoff,Utah Jazz,23,94.53,9.51,51.24,5.41,31.95,94.54
Jordan,Gherardo,Washington Wizards,29,37.88,48.46,51.24,20.98,19.4,18.57
Bill,Wandie,Boston Celtics,29,3.21,70.11,82.07,97.41,58.85,62.2
Mildrid,Halsey,Minnesota Timberwolves,30,94.48,99.6,22.02,1.47,3.87,55.71
Carilyn,Alva,Orlando Magic,26,58.62,64.09,88.2,58.07,11.8,63
Rosaline,Crudden,Chicago Bulls,28,94.39,74.18,24.09,17.48,2.88,79.46
Barbara,Raychel,Orlando Magic,27,33.35,60.17,63.73,48.41,59.9,87.97
Wynne,Infield,Utah Jazz,22,30.17,42.58,97.77,12.31,6.29,91.6
Alleen,Orlene,Miami Heat,18,49.06,66.33,31.96,38.69,28.49,94.16
Alyda,Daveta,Milwaukee Bucks,18,13.08,80.2,47.3,81.16,73.74,3.41
Angelique,Beebe,Minnesota Timberwolves,27,97.86,28.02,32.64,8.01,51.91,34.86
Ira,Monaco,Washington Wizards,18,72,69.72,5.77,53.78,44.59,45.88
Dacia,Tufts,New Orleans Pelicans,23,94.33,31.83,15.14,10.69,57.18,53.91
Rani,Rillings,Cleveland Cavaliers,19,87,21.16,82.37,28.36,30.76,16.31
Lorie,Bevin,Brooklyn Nets,24,61.65,39.95,36.48,8.18,43.87,19.49
Melanie,Leffen,Washington Wizards,25,92.14,27.03,62.74,72.12,54.38,46.11
Jordan,Noman,Phoenix Suns,25,22.41,82.05,38.33,82.8,69.48,47.16
Wendi,Oneida,Boston Celtics,18,21.92,24.63,1.19,21.21,85.42,6.07
Petronia,Thar,Portland Trail Blazers,23,35.72,96.86,89.22,82.95,12.5,65.17
Katleen,Oster,Sacramento Kings,18,96.44,43.18,18.54,61.96,68.92,15.28
Beatriz,Roscoe,Boston Celtics,27,43.25,65.68,53.39,99.1,96.84,48.68
Amii,Lane,Orlando Magic,18,10.08,37.33,55.93,12.78,92.06,15.42
Sybille,Hepsibah,Golden State Warriors,20,51.11,83.98,93.61,52.25,68.06,57.85
Meriel,Torray,Milwaukee Bucks,22,25.95,33.49,77.88,61.16,11.35,86.89
Sandie,Weitman,Detroit Pistons,21,71.81,10.1,20.24,58.35,23.42,67.98
Tobe,Fiester,New Orleans Pelicans,21,7.73,55.17,37.71,49.87,40.09,90.33
Candy,Toni,Detroit Pistons,23,82.96,27.89,33.26,83.49,30.2,68.88
Tani,Gillan,Brooklyn Nets,20,38.14,18.57,27.86,21.65,92.2,98.09
Felice,Bertold,Minnesota Timberwolves,23,93.82,84.48,52.65,90.96,74.91,95.57
Betta,Mike,Philadelphia 76ers,21,8.96,37.76,5.72,21.85,59.7,20.47
Roxane,Kussell,Houston Rockets,18,79.13,44.74,78.84,85.14,99.49,70.74
Ruthe,Franza,Toronto Raptors,22,54.3,5.25,19.09,89.2,51.53,49.67
Elie,Estella,Toronto Raptors,26,79.5,30.12,55.7,20.65,28.93,81.26
Aurelie,Fry,Cleveland Cavaliers,25,46.69,48.24,12.35,36.08,90.67,5.14
Candi,Raama,Atlanta Hawks,26,22.31,82.92,21.35,80.08,10.6,31.17
Carmela,Ferrell,Brooklyn Nets,24,94.74,41.95,91.63,35.5,86.82,97.04
Estell,Erich,Charlotte Hornets,20,94.8,90.91,28.5,52.11,9.81,76.32
Lanae,Sperling,Toronto Raptors,23,36.86,85.19,61.44,15.98,39.4,26.34
Tonia,Ulphia,Oklahoma City Thunder,18,13.52,31.29,15.39,51.75,74.06,12.01
Quintina,Wolfgram,Brooklyn Nets,27,33.55,34.54,93.62,89.16,94.92,14.84
