firstname,lastname,team,age,trueShooting,usage,assist,rebound,defensive,blocks
Ricky,Eachern,Orlando Magic,18,86.14,8.25,8.19,18.84,66.2,4.78
Margarette,Japeth,Oklahoma City Thunder,25,85.81,12.73,14.37,34.04,54.56,56.23
Shell,Tremayne,Toronto Raptors,24,89.86,28.95,21.1,3.6,96.57,41.34
Ermengarde,Azeria,Minnesota Timberwolves,28,69.79,64.42,90.55,22.84,99.46,96.53
Robinia,August,Brooklyn Nets,28,53.52,68.22,91.65,13.98,50.66,62.79
Perry,Alejoa,Houston Rockets,19,18.43,56.71,92.69,6.1,61.73,58.34
Caritta,Vorster,Cleveland Cavaliers,22,29.26,45.9,96.11,94.05,25.31,17.75
Nanete,Huggins,Phoenix Suns,24,62.21,75.84,47.16,33.96,15.1,77.58
Kittie,Ivens,LA Clippers,24,60.75,92.99,71.51,49.9,28.07,44.59
Molli,Orelee,San Antonio Spurs,25,11.31,39.2,15.22,13.22,60.67,94.55
Lesly,Yerkovich,Memphis Grizzlies,27,79.55,52.42,5.49,39.69,74.76,45.81
Catharine,Emanuel,Utah Jazz,19,19.68,81.82,44.23,6.61,22.03,93.67
Lelah,Gower,Portland Trail Blazers,20,77.34,8.28,4.1,21.57,79,70.06
Maisey,Vacuva,Los Angeles Lakers,23,88.31,46.71,9.48,57.72,38.6,81.06
Quintina,Mendez,Minnesota Timberwolves,21,55,67.79,24.63,48.4,80.75,87.85
Allis,Phi,Dallas Mavericks,25,18.14,22.17,69.45,39.68,77.11,63.9
Regina,Gale,Portland Trail Blazers,21,80.27,11.23,71.66,11.94,27.92,15.94
Charmaine,Jagir,Houston Rockets,28,80.37,17.68,96.7,6.35,31.49,24.61
Marsiella,Loring,Cleveland Cavaliers,28,88.95,23.9,80.48,93.63,90.33,77.43
Phylis,Jillane,Brooklyn Nets,25,96.65,52.07,33.77,15.8,93.58,47.72
Tersina,Buttaro,Minnesota Timberwolves,25,73.87,39.75,1.08,34.8,38.37,16.33
Elyssa,Klemperer,New Orleans Pelicans,28,39.83,46.82,75.79,75.07,44.87,33.86
Henriette,Tryck,Chicago Bulls,20,45.16,11.66,24.06,31.59,92.08,56.47
Sarette,Brotherson,Oklahoma City Thunder,27,64.05,95.53,84.71,15.32,26.43,96.95
Ethel,Bearnard,Utah Jazz,18,48.55,58.56,55.23,27.78,93.47,53.58
Gilligan,Randene,Cleveland Cavaliers,28,65.27,63.1,38.06,47.54,48.54,80.35
Yvonne,Solitta,Sacramento Kings,24,55.38,9.71,77.33,35.95,22.66,64.48
Minda,Ledah,Golden State Warriors,26,20.8,33.83,47.1,23.06,25.58,11.47
Fred,Tomasina,Orlando Magic,29,24.85,99.6,73.72,67.63,1.68,16.85
Marjie,Roumell,Toronto Raptors,27,18.32,42.55,94.62,43.18,10.93,33.35
Carmela,Gualtiero,Cleveland Cavaliers,20,11.16,69.11,14.83,34.04,28.51,36.42
Atlanta,Travax,Portland Trail Blazers,26,69.06,62.55,60.12,45.61,14.8,28.52
Kylynn,Chabot,Atlanta Hawks,20,71.53,19.52,47.73,25,97.67,93.98
Ardenia,Maribeth,Atlanta Hawks,28,81.46,4.96,38.48,49.85,71.37,44.27
Dagmar,Anastatius,Golden State Warriors,29,90.17,19.69,98.77,24.65,41.58,10.47
Ingrid,Campball,Phoenix Suns,20,8.99,6.53,76.89,45.21,42.82,68.59
Gabriellia,Mandler,Washington Wizards,21,95.47,15.5,31.66,14.71,74.08,63.69
Brietta,Daegal,Toronto Raptors,30,46.78,41.13,7.83,39.98,71.09,69.44
Elvira,Nisbet,Utah Jazz,19,26.46,42.22,13.94,7.4,42.24,1.02
Steffane,Rona,Philadelphia 76ers,22,4.54,67.84,30.89,57.46,18,50.64
Josephine,Gaal,Golden State Warriors,24,62.79,51.16,77.29,56.87,62.91,30.81
Hannis,Tayib,Washington Wizards,29,64.61,10.11,72.49,23.84,77.25,17.94
Jinny,Lattie,Charlotte Hornets,28,60.29,3.14,44.47,16.71,48.29,40.21
Mallory,Keily,Chicago Bulls,21,12.39,15.41,49.78,56.32,99.4,20.53
Anestassia,Wenda,Portland Trail Blazers,30,63.33,15.52,85.31,50.28,87.41,86.17
Brietta,Lindemann,Memphis Grizzlies,23,39,74.64,40.44,36.22,34.66,62.87
Kassey,Bouchard,Washington Wizards,30,61.81,8.98,86.84,31.62,89.83,68.87
Asia,Tiffa,Brooklyn Nets,19,92.56,16.22,10.72,30.27,27.75,67.85
Myriam,Lilybelle,Atlanta Hawks,26,67.6,31.51,14.05,80.45,83.32,98.06
